createdAt,value
2022-08-07 01:55:00.157000+00:00,11.5
2022-08-07 02:55:00.208000+00:00,11.1
2022-08-07 03:55:06.812000+00:00,10.5
2022-08-07 04:55:00.178000+00:00,10.9
2022-08-07 05:55:06.776000+00:00,13.8
2022-08-07 06:55:32.012000+00:00,16.1
2022-08-07 07:55:00.205000+00:00,19.1
2022-08-07 08:55:01.224000+00:00,20.8
2022-08-07 09:55:00.210000+00:00,22.6
2022-08-07 10:55:01.861000+00:00,22.0
2022-08-07 11:55:01.222000+00:00,23.8
2022-08-07 12:55:03.792000+00:00,25.0
2022-08-07 13:55:00.580000+00:00,24.4
2022-08-07 14:55:00.202000+00:00,25.1
2022-08-07 15:55:02.381000+00:00,24.1
2022-08-07 16:55:03.140000+00:00,23.5
2022-08-07 17:55:00.240000+00:00,22.8
2022-08-07 18:55:08.403000+00:00,19.8
2022-08-07 19:55:00.186000+00:00,17.9
2022-08-07 20:55:00.182000+00:00,16.6
2022-08-07 21:55:00.182000+00:00,15.5
2022-08-07 22:55:00.214000+00:00,14.8
2022-08-07 23:55:00.181000+00:00,14.1
2022-08-08 00:55:00.189000+00:00,13.3
2022-08-08 01:55:26.118000+00:00,12.8
2022-08-08 02:55:00.167000+00:00,12.6
2022-08-08 03:55:10.138000+00:00,12.3
2022-08-08 04:55:00.182000+00:00,12.6
2022-08-08 05:55:04.669000+00:00,15.7
2022-08-08 06:55:00.195000+00:00,18.8
2022-08-08 07:55:00.204000+00:00,19.7
2022-08-08 08:55:00.232000+00:00,21.8
2022-08-08 09:55:00.247000+00:00,22.6
2022-08-08 10:55:00.278000+00:00,21.4
2022-08-08 11:55:00.191000+00:00,23.7
2022-08-08 12:55:00.195000+00:00,23.9
2022-08-08 13:55:00.197000+00:00,22.9
2022-08-08 14:55:00.208000+00:00,22.7
2022-08-08 15:55:00.186000+00:00,22.4
2022-08-08 16:55:53.556000+00:00,22.2
2022-08-08 17:55:00.224000+00:00,21.4
2022-08-08 18:55:10.303000+00:00,20.4
2022-08-08 19:55:04.395000+00:00,18.5
2022-08-08 20:55:00.193000+00:00,17.2
2022-08-08 21:55:03.267000+00:00,16.2
2022-08-08 22:55:04.835000+00:00,15.7
2022-08-08 23:55:13.962000+00:00,14.9
2022-08-09 00:55:00.975000+00:00,14.2
2022-08-09 01:55:00.166000+00:00,13.7
2022-08-09 02:55:00.210000+00:00,13.2
2022-08-09 03:55:00.214000+00:00,12.7
2022-08-09 04:55:00.192000+00:00,12.7
2022-08-09 05:55:03.133000+00:00,14.8
2022-08-09 06:55:00.204000+00:00,17.2
2022-08-09 07:55:00.210000+00:00,19.9
2022-08-09 08:55:01.268000+00:00,22.1
2022-08-09 09:55:00.246000+00:00,23.2
2022-08-09 10:55:00.222000+00:00,24.6
2022-08-09 11:55:00.190000+00:00,26.2
2022-08-09 12:55:03.126000+00:00,26.5
2022-08-09 13:55:04.697000+00:00,27.3
2022-08-09 14:55:00.199000+00:00,27.1
2022-08-09 15:55:00.223000+00:00,27.5
2022-08-09 16:55:00.295000+00:00,26.9
2022-08-09 17:55:00.246000+00:00,25.6
2022-08-09 18:55:00.282000+00:00,22.9
2022-08-09 19:55:00.285000+00:00,20.9
2022-08-09 20:55:00.262000+00:00,18.9
2022-08-09 21:55:04.390000+00:00,17.5
2022-08-09 22:55:00.248000+00:00,16.3
2022-08-09 23:55:00.274000+00:00,15.5
2022-08-10 00:55:00.208000+00:00,14.8
2022-08-10 01:50:00.216000+00:00,14.2
2022-08-10 02:55:04.669000+00:00,13.8
2022-08-10 03:55:00.236000+00:00,13.4
2022-08-10 04:55:00.229000+00:00,13.4
2022-08-10 05:55:02.876000+00:00,15.4
2022-08-10 06:55:00.548000+00:00,18.3
2022-08-10 07:55:00.238000+00:00,20.9
2022-08-10 08:55:00.233000+00:00,23.9
2022-08-10 09:55:00.227000+00:00,26.4
2022-08-10 10:55:00.323000+00:00,28.7
2022-08-10 11:55:00.279000+00:00,29.3
2022-08-10 12:55:00.268000+00:00,30.3
2022-08-10 13:55:00.191000+00:00,30.6
2022-08-10 14:55:00.217000+00:00,31.0
2022-08-10 15:55:00.214000+00:00,30.6
2022-08-10 16:55:00.198000+00:00,30.5
2022-08-10 17:55:00.201000+00:00,29.3
2022-08-10 18:55:00.224000+00:00,25.9
2022-08-10 19:55:00.188000+00:00,23.0
2022-08-10 20:55:00.219000+00:00,21.3
2022-08-10 21:55:00.168000+00:00,19.8
2022-08-10 22:55:00.170000+00:00,18.7
2022-08-10 23:55:00.183000+00:00,17.9
2022-08-11 00:55:00.187000+00:00,16.9
2022-08-11 01:55:00.183000+00:00,16.4
2022-08-11 02:55:00.181000+00:00,15.6
2022-08-11 03:55:00.185000+00:00,15.1
2022-08-11 04:55:00.184000+00:00,15.0
2022-08-11 05:55:05.928000+00:00,17.2
2022-08-11 06:55:00.199000+00:00,20.5
